country,iso3,geo,is_eu27,year,sex,age_group,unemployment_rate
Austria,AUT,AT,True,2009,Female,Youth (15-24),10.5
Austria,AUT,AT,True,2009,Male,Youth (15-24),12.1
Austria,AUT,AT,True,2009,Total,Youth (15-24),11.3
Austria,AUT,AT,True,2009,Female,Overall (15-74),5.3
Austria,AUT,AT,True,2009,Male,Overall (15-74),6.0
Austria,AUT,AT,True,2009,Total,Overall (15-74),5.7
Austria,AUT,AT,True,2010,Female,Youth (15-24),9.8
Austria,AUT,AT,True,2010,Male,Youth (15-24),10.4
Austria,AUT,AT,True,2010,Total,Youth (15-24),10.1
Austria,AUT,AT,True,2010,Female,Overall (15-74),4.9
Austria,AUT,AT,True,2010,Male,Overall (15-74),5.5
Austria,AUT,AT,True,2010,Total,Overall (15-74),5.2
Austria,AUT,AT,True,2011,Female,Youth (15-24),9.5
Austria,AUT,AT,True,2011,Male,Youth (15-24),9.5
Austria,AUT,AT,True,2011,Total,Youth (15-24),9.5
Austria,AUT,AT,True,2011,Female,Overall (15-74),4.8
Austria,AUT,AT,True,2011,Male,Overall (15-74),5.0
Austria,AUT,AT,True,2011,Total,Overall (15-74),4.9
Austria,AUT,AT,True,2012,Female,Youth (15-24),9.6
Austria,AUT,AT,True,2012,Male,Youth (15-24),10.3
Austria,AUT,AT,True,2012,Total,Youth (15-24),10.0
Austria,AUT,AT,True,2012,Female,Overall (15-74),5.0
Austria,AUT,AT,True,2012,Male,Overall (15-74),5.4
Austria,AUT,AT,True,2012,Total,Overall (15-74),5.2
Austria,AUT,AT,True,2013,Female,Youth (15-24),10.4
Austria,AUT,AT,True,2013,Male,Youth (15-24),10.2
Austria,AUT,AT,True,2013,Total,Youth (15-24),10.3
Austria,AUT,AT,True,2013,Female,Overall (15-74),5.5
Austria,AUT,AT,True,2013,Male,Overall (15-74),5.9
Austria,AUT,AT,True,2013,Total,Overall (15-74),5.7
Austria,AUT,AT,True,2014,Female,Youth (15-24),10.4
Austria,AUT,AT,True,2014,Male,Youth (15-24),11.5
Austria,AUT,AT,True,2014,Total,Youth (15-24),11.0
Austria,AUT,AT,True,2014,Female,Overall (15-74),5.6
Austria,AUT,AT,True,2014,Male,Overall (15-74),6.4
Austria,AUT,AT,True,2014,Total,Overall (15-74),6.0
Austria,AUT,AT,True,2015,Female,Youth (15-24),10.4
Austria,AUT,AT,True,2015,Male,Youth (15-24),12.0
Austria,AUT,AT,True,2015,Total,Youth (15-24),11.3
Austria,AUT,AT,True,2015,Female,Overall (15-74),5.6
Austria,AUT,AT,True,2015,Male,Overall (15-74),6.7
Austria,AUT,AT,True,2015,Total,Overall (15-74),6.1
Austria,AUT,AT,True,2016,Female,Youth (15-24),10.7
Austria,AUT,AT,True,2016,Male,Youth (15-24),13.1
Austria,AUT,AT,True,2016,Total,Youth (15-24),12.0
Austria,AUT,AT,True,2016,Female,Overall (15-74),5.8
Austria,AUT,AT,True,2016,Male,Overall (15-74),7.0
Austria,AUT,AT,True,2016,Total,Overall (15-74),6.5
Austria,AUT,AT,True,2017,Female,Youth (15-24),9.1
Austria,AUT,AT,True,2017,Male,Youth (15-24),11.7
Austria,AUT,AT,True,2017,Total,Youth (15-24),10.5
Austria,AUT,AT,True,2017,Female,Overall (15-74),5.3
